epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.3879,1.57925,4.56542,1.41818,0.00306,0.88,0.40953,0.21337,1.06618,3.62593,0.96184,0.00046,0.00046,0.00046
2,6.17959,1.39179,3.16164,1.13449,0.00489,0.76,0.45624,0.1319,1.38606,3.67123,1.12955,0.000928368,0.000928368,0.000928368
3,8.9411,1.3894,2.73751,1.17704,0.60107,0.24118,0.55364,0.27764,1.4347,3.11105,1.27946,0.00138485,0.00138485,0.00138485
4,11.7508,1.56855,2.86362,1.23457,0.3638,0.27473,0.30184,0.11447,1.69769,3.41367,1.30192,0.00182946,0.00182946,0.00182946
5,14.603,1.591,2.96332,1.20179,0.65627,0.68756,0.74622,0.38945,1.60035,2.86733,1.2878,0.001901,0.001901,0.001901
6,17.2579,1.38874,2.51748,1.14304,0.71011,0.88,0.81727,0.47009,1.52788,2.51638,1.23663,0.00187625,0.00187625,0.00187625
7,19.8224,1.46519,2.63912,1.18176,0.86989,0.8,0.83287,0.48718,1.44262,2.33565,1.27754,0.0018515,0.0018515,0.0018515
8,22.3731,1.4633,2.48132,1.14343,0.82851,0.72,0.75794,0.4633,1.34799,2.40277,1.25457,0.00182675,0.00182675,0.00182675
9,25.057,1.4629,2.18042,1.17014,0.79801,0.52,0.66026,0.36136,1.51631,2.53723,1.28591,0.001802,0.001802,0.001802
10,27.5455,1.31821,2.13519,1.14189,0.78512,0.73108,0.74986,0.45995,1.33438,2.18974,1.16921,0.00177725,0.00177725,0.00177725
11,30.1074,1.40045,2.14237,1.11852,0.81308,0.72,0.78063,0.4622,1.51575,2.33979,1.31628,0.0017525,0.0017525,0.0017525
12,32.8811,1.33001,2.106,1.14717,0.85636,0.76,0.81241,0.44707,1.386,1.98414,1.20725,0.00172775,0.00172775,0.00172775
13,35.4943,1.22109,2.01653,1.07252,0.95185,0.79111,0.92383,0.63083,1.10498,1.70247,1.04235,0.001703,0.001703,0.001703
14,38.0861,1.20477,1.75857,1.03208,0.90268,0.88,0.93308,0.65549,1.07326,1.36985,1.04313,0.00167825,0.00167825,0.00167825
15,40.7494,1.16195,1.64083,1.0381,0.91965,0.91579,0.95348,0.66464,1.10235,1.31343,1.07587,0.0016535,0.0016535,0.0016535
16,43.6293,1.1363,1.56794,1.01543,0.95959,0.95017,0.95547,0.66408,1.06493,1.33819,1.01851,0.00162875,0.00162875,0.00162875
17,46.2727,1.07661,1.50818,1.00931,0.98045,0.88,0.96724,0.67123,1.11287,1.28384,0.99544,0.001604,0.001604,0.001604
18,48.9945,1.14866,1.53484,0.99521,0.91958,0.91494,0.97001,0.7034,1.0612,1.11304,0.99543,0.00157925,0.00157925,0.00157925
19,51.5535,1.0891,1.46351,1.03674,0.95892,0.93404,0.98788,0.67934,1.10771,1.08081,1.0363,0.0015545,0.0015545,0.0015545
20,54.0004,1.12313,1.42337,0.99042,0.94581,0.96,0.98468,0.72152,0.96475,1.11944,0.99754,0.00152975,0.00152975,0.00152975
21,56.6493,1.07099,1.3596,1.00984,0.96105,0.98734,0.99192,0.66437,1.08836,1.02931,1.01196,0.001505,0.001505,0.001505
22,59.2745,1.12787,1.40579,1.00367,0.94488,1,0.98731,0.65378,1.08305,0.94836,1.00874,0.00148025,0.00148025,0.00148025
23,62.0967,1.06431,1.3666,1.01048,0.92492,1,0.98263,0.69859,0.94272,0.90716,0.99247,0.0014555,0.0014555,0.0014555
24,64.859,1.069,1.30076,1.02278,0.95601,0.92,0.97988,0.64948,1.0889,0.92675,1.03671,0.00143075,0.00143075,0.00143075
25,67.5306,1.00744,1.24692,0.97233,1,0.90949,0.97429,0.66181,1.07255,0.87581,1.00227,0.001406,0.001406,0.001406
26,70.097,1.13979,1.29831,1.02249,0.97813,0.92,0.98418,0.69792,1.07634,0.8863,1.0143,0.00138125,0.00138125,0.00138125
27,72.5999,1.10783,1.23913,1.00189,0.96075,1,0.98885,0.66536,1.02733,0.98643,0.99963,0.0013565,0.0013565,0.0013565
28,75.2821,1.03493,1.19882,0.96176,0.95853,0.92466,0.98628,0.69141,1.00225,0.96896,0.98845,0.00133175,0.00133175,0.00133175
29,78.0161,1.02433,1.22109,0.94976,0.95829,0.91908,0.98151,0.67567,1.00922,0.90524,0.99484,0.001307,0.001307,0.001307
30,80.617,1.07782,1.18687,0.96571,0.89143,0.92,0.97027,0.6687,1.00658,0.90551,0.99824,0.00128225,0.00128225,0.00128225
31,83.2598,1.02152,1.18672,0.94037,0.87414,1,0.97604,0.69539,1.03116,0.86417,1.00333,0.0012575,0.0012575,0.0012575
32,85.815,1.00202,1.21326,0.96234,0.88233,1,0.9843,0.68505,1.01366,0.85072,0.99507,0.00123275,0.00123275,0.00123275
33,88.3973,0.99721,1.09282,0.94225,0.96127,0.99297,0.99192,0.74296,0.89075,0.78263,0.97274,0.001208,0.001208,0.001208
34,91.1753,1.09635,1.2899,1.05174,0.99986,1,0.995,0.74894,0.87794,0.79134,0.96896,0.00118325,0.00118325,0.00118325
35,94.0333,0.95371,1.11962,0.95742,1,0.95567,0.99346,0.70814,1.02017,0.8115,1.02087,0.0011585,0.0011585,0.0011585
36,96.7651,0.92395,1.06876,0.9691,1,0.99856,0.995,0.71126,0.97372,0.80083,1.00739,0.00113375,0.00113375,0.00113375
37,99.3894,0.97803,0.98455,0.97879,0.99703,1,0.995,0.70293,0.95991,0.85205,0.97948,0.001109,0.001109,0.001109
38,102.082,1.00382,1.06811,1.00527,0.95325,1,0.99346,0.69561,0.98206,0.84333,0.97683,0.00108425,0.00108425,0.00108425
39,104.737,0.94524,1.02533,0.95413,1,0.9964,0.995,0.71532,0.92877,0.76358,0.9549,0.0010595,0.0010595,0.0010595
40,107.282,0.88007,1.02575,0.92019,1,0.95614,0.99346,0.7213,0.9193,0.76384,0.95754,0.00103475,0.00103475,0.00103475
41,109.888,0.91194,0.95997,0.94189,1,0.99852,0.995,0.71759,0.97775,0.7916,0.96607,0.00101,0.00101,0.00101
42,112.545,0.90308,1.0043,0.94762,0.97857,1,0.995,0.71885,0.9191,0.81024,0.95948,0.00098525,0.00098525,0.00098525
43,115.174,0.85456,0.90107,0.90101,1,0.95879,0.995,0.75673,0.81153,0.74859,0.93284,0.0009605,0.0009605,0.0009605
44,117.795,0.91792,0.98428,0.94908,1,0.94791,0.99071,0.78252,0.82144,0.75916,0.92607,0.00093575,0.00093575,0.00093575
45,120.696,0.82572,0.92191,0.95492,0.99158,0.96,0.99071,0.76919,0.81793,0.68818,0.92617,0.000911,0.000911,0.000911
46,123.15,0.90002,0.84513,0.9164,0.99584,0.96,0.99346,0.76438,0.81847,0.67072,0.92916,0.00088625,0.00088625,0.00088625
47,126.301,0.873,0.94294,0.92868,0.99856,0.96,0.99204,0.79221,0.85773,0.63265,0.94957,0.0008615,0.0008615,0.0008615
48,129.04,0.87399,0.9279,0.94756,0.92221,1,0.99192,0.78135,0.86176,0.6591,0.9426,0.00083675,0.00083675,0.00083675
49,131.695,0.87026,0.85906,0.89886,1,0.95332,0.99346,0.75111,0.92245,0.71842,0.95129,0.000812,0.000812,0.000812
50,134.409,0.79945,0.83002,0.91506,1,0.99035,0.995,0.73945,0.92243,0.67951,0.95123,0.00078725,0.00078725,0.00078725
51,137.754,0.83609,0.83329,0.93317,0.99424,0.96,0.99346,0.75713,0.8084,0.61085,0.9352,0.0007625,0.0007625,0.0007625
52,140.932,0.83583,0.84069,0.92903,0.99614,0.96,0.99204,0.74929,0.81823,0.64221,0.93616,0.00073775,0.00073775,0.00073775
53,144.396,0.82301,0.78302,0.90031,0.96143,0.99721,0.99346,0.73913,0.8707,0.62778,0.93924,0.000713,0.000713,0.000713
54,147.293,0.80723,0.83146,0.93117,0.9526,1,0.99192,0.74208,0.87404,0.63364,0.94254,0.00068825,0.00068825,0.00068825
55,150.31,0.73641,0.75264,0.85965,1,0.9586,0.99346,0.72226,0.87291,0.61149,0.92408,0.0006635,0.0006635,0.0006635
56,153.398,0.78328,0.80071,0.90834,1,0.98309,0.995,0.72683,0.87353,0.61154,0.92553,0.00063875,0.00063875,0.00063875
57,156.34,0.78513,0.78929,0.91376,1,0.95328,0.99346,0.77662,0.81682,0.59223,0.92049,0.000614,0.000614,0.000614
58,159.196,0.76498,0.76913,0.87604,1,0.95921,0.99346,0.77412,0.81134,0.54856,0.92475,0.00058925,0.00058925,0.00058925
59,162.096,0.73589,0.76103,0.92854,0.9942,0.96,0.99071,0.7551,0.83407,0.557,0.9233,0.0005645,0.0005645,0.0005645
60,164.897,0.75257,0.7687,0.89908,0.99473,0.96,0.99071,0.74618,0.8296,0.54537,0.92078,0.00053975,0.00053975,0.00053975
61,167.614,0.76882,0.73988,0.87873,0.99512,0.96,0.99071,0.80582,0.76773,0.51924,0.90649,0.000515,0.000515,0.000515
62,170.359,0.79435,0.81613,0.8901,0.99969,0.96,0.99346,0.80924,0.76803,0.52329,0.9081,0.00049025,0.00049025,0.00049025
63,172.847,0.75265,0.73536,0.88304,1,0.95944,0.99346,0.7936,0.7636,0.51907,0.90776,0.0004655,0.0004655,0.0004655
64,175.605,0.71247,0.73663,0.88434,1,0.95741,0.99346,0.79241,0.7677,0.50997,0.90862,0.00044075,0.00044075,0.00044075
65,178.614,0.72772,0.72492,0.90971,0.95747,1,0.99346,0.76693,0.82918,0.51183,0.91763,0.000416,0.000416,0.000416
66,181.332,0.72421,0.68519,0.87999,0.95595,1,0.99346,0.76326,0.84739,0.52236,0.9201,0.00039125,0.00039125,0.00039125
67,184.129,0.73449,0.71904,0.86932,1,0.98604,0.995,0.79075,0.81403,0.51696,0.91745,0.0003665,0.0003665,0.0003665
68,186.814,0.69473,0.67319,0.8684,1,0.99274,0.995,0.80569,0.81975,0.522,0.9197,0.00034175,0.00034175,0.00034175
69,189.642,0.70394,0.67008,0.87823,1,0.99598,0.995,0.79764,0.80129,0.51441,0.91702,0.000317,0.000317,0.000317
70,192.393,0.66785,0.67686,0.88122,1,0.99696,0.995,0.79769,0.81423,0.53402,0.91926,0.00029225,0.00029225,0.00029225
71,199.559,0.61529,0.70424,0.85939,1,0.9941,0.995,0.78891,0.80527,0.52488,0.92015,0.0002675,0.0002675,0.0002675
72,202.204,0.61721,0.71883,0.85754,1,0.994,0.995,0.79822,0.79007,0.51075,0.91733,0.00024275,0.00024275,0.00024275
73,204.815,0.61299,0.69444,0.84197,0.99489,0.96,0.99346,0.77508,0.79338,0.49822,0.92048,0.000218,0.000218,0.000218
74,207.375,0.59627,0.70878,0.80898,0.99518,0.96,0.99204,0.76974,0.79458,0.49715,0.92161,0.00019325,0.00019325,0.00019325
75,210.062,0.62754,0.71034,0.85338,0.99609,0.96,0.99204,0.77616,0.8042,0.50466,0.91882,0.0001685,0.0001685,0.0001685
76,212.845,0.567,0.67388,0.83693,0.99624,0.96,0.99204,0.78097,0.80752,0.50416,0.9166,0.00014375,0.00014375,0.00014375
77,215.692,0.64375,0.72506,0.85648,0.99665,0.96,0.99204,0.78762,0.8168,0.51894,0.91544,0.000119,0.000119,0.000119
78,218.249,0.55994,0.69778,0.83823,0.99633,0.96,0.99204,0.78398,0.81535,0.5097,0.91517,9.425e-05,9.425e-05,9.425e-05
79,221.115,0.6227,0.71749,0.85298,0.99698,0.96,0.99346,0.7847,0.80367,0.51965,0.91498,6.95e-05,6.95e-05,6.95e-05
80,223.899,0.58598,0.64915,0.8337,0.99743,0.96,0.99346,0.78357,0.79849,0.52743,0.91484,4.475e-05,4.475e-05,4.475e-05
