epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.38177,1.84114,4.05468,1.45578,0.00323,0.92,0.01515,0.00709,1.33556,3.50191,0.95569,0.00046,0.00046,0.00046
2,5.45888,1.59211,2.75875,1.13602,0.00292,0.84,0.18794,0.0661,1.32124,3.54556,1.06079,0.000930694,0.000930694,0.000930694
3,7.68657,1.66713,2.37712,1.24137,0.02092,0.8,0.24397,0.07736,1.56785,2.9108,1.32263,0.00139188,0.00139188,0.00139188
4,9.83316,1.59101,2.06056,1.21653,0.56892,0.36997,0.55071,0.21024,1.4403,2.69562,1.25957,0.00184357,0.00184357,0.00184357
5,12.0984,1.7166,2.14601,1.29265,0.65,0.56,0.66784,0.34895,1.48212,2.24464,1.39374,0.0019208,0.0019208,0.0019208
6,14.2834,1.60304,1.98437,1.25848,0.66884,0.72,0.68256,0.36098,1.48839,2.30832,1.28853,0.001901,0.001901,0.001901
7,16.4576,1.63573,1.96347,1.27425,0.83658,0.61481,0.76315,0.33307,1.5851,2.12765,1.27616,0.0018812,0.0018812,0.0018812
8,18.5711,1.68009,2.01361,1.2128,0.9563,0.68,0.80491,0.44098,1.43584,1.88071,1.18413,0.0018614,0.0018614,0.0018614
9,20.7861,1.62806,1.78969,1.24325,0.86062,0.8,0.79728,0.44477,1.50331,1.79339,1.22989,0.0018416,0.0018416,0.0018416
10,22.9021,1.55043,1.78534,1.20418,0.82062,0.8,0.80963,0.46713,1.44584,2.00249,1.22914,0.0018218,0.0018218,0.0018218
11,25.0341,1.49755,1.61532,1.19033,0.93853,0.72,0.7807,0.46995,1.41495,1.76751,1.17445,0.001802,0.001802,0.001802
12,27.321,1.3883,1.58429,1.15472,0.74547,0.84,0.77475,0.47642,1.42364,1.9207,1.19353,0.0017822,0.0017822,0.0017822
13,29.4361,1.27724,1.54023,1.10872,0.89966,0.76,0.84171,0.51598,1.31135,1.52771,1.15235,0.0017624,0.0017624,0.0017624
14,31.4269,1.32654,1.38695,1.11044,0.75413,0.84,0.84413,0.52601,1.30898,1.51028,1.16376,0.0017426,0.0017426,0.0017426
15,33.5448,1.33716,1.32907,1.12224,0.78243,0.88,0.90855,0.47837,1.4252,1.59235,1.25172,0.0017228,0.0017228,0.0017228
16,35.9746,1.30412,1.35322,1.09866,0.86719,0.76,0.85775,0.53666,1.26282,1.37787,1.17277,0.001703,0.001703,0.001703
17,38.2804,1.32924,1.39367,1.12371,0.87432,0.84,0.87928,0.55153,1.30598,1.33452,1.15146,0.0016832,0.0016832,0.0016832
18,40.5806,1.31841,1.2758,1.0712,0.85476,0.92,0.9206,0.57111,1.22199,1.18338,1.12484,0.0016634,0.0016634,0.0016634
19,42.7055,1.2286,1.3017,1.08028,0.86304,0.92,0.92573,0.53848,1.31392,1.26969,1.13305,0.0016436,0.0016436,0.0016436
20,44.8657,1.23955,1.2427,1.05336,0.95139,0.84,0.92348,0.58526,1.19819,1.40332,1.06526,0.0016238,0.0016238,0.0016238
21,47.1462,1.12177,1.14565,1.0452,0.88607,0.88,0.89624,0.48001,1.50297,1.11079,1.15198,0.001604,0.001604,0.001604
22,49.2777,1.2315,1.26234,1.05837,0.80586,0.92,0.88087,0.52465,1.34915,1.07588,1.08385,0.0015842,0.0015842,0.0015842
23,51.506,1.27185,1.19821,1.05888,0.85501,0.94391,0.94115,0.61067,1.16409,0.95588,1.03063,0.0015644,0.0015644,0.0015644
24,53.8446,1.21109,1.1317,1.06705,0.91234,0.83288,0.88482,0.51126,1.40555,1.01096,1.14784,0.0015446,0.0015446,0.0015446
25,56.0589,1.15044,1.07906,1.06074,0.95228,0.92,0.92208,0.58062,1.10748,0.92724,1.02756,0.0015248,0.0015248,0.0015248
26,58.2734,1.21106,1.15555,1.03934,0.80937,0.92,0.82934,0.51945,1.15703,0.98557,1.04733,0.001505,0.001505,0.001505
27,60.4558,1.19723,1.10351,1.06769,0.87436,0.92,0.92675,0.58262,1.16732,0.94191,1.05489,0.0014852,0.0014852,0.0014852
28,62.7129,1.09605,1.05124,0.98109,0.95778,0.90785,0.94916,0.59809,1.18301,0.93783,1.06438,0.0014654,0.0014654,0.0014654
29,65.0107,1.03009,0.9916,0.98889,0.9495,0.96,0.95188,0.62592,1.07829,0.87924,1.01901,0.0014456,0.0014456,0.0014456
30,67.1924,1.12791,0.98881,0.97914,0.99876,0.96,0.97167,0.65523,1.07132,0.77138,1.01684,0.0014258,0.0014258,0.0014258
31,69.4036,0.98158,0.92542,0.96449,0.91914,0.90973,0.90638,0.61717,1.12771,0.84819,1.02828,0.001406,0.001406,0.001406
32,71.5001,1.03012,1.02889,1.01753,0.88385,0.9134,0.90409,0.6043,1.10419,0.97246,1.02534,0.0013862,0.0013862,0.0013862
33,73.6677,1.00196,0.92647,0.97177,0.95562,0.92,0.93201,0.62881,0.99632,1.10896,0.99311,0.0013664,0.0013664,0.0013664
34,75.9667,1.09555,1.05319,1.0499,0.95811,0.91506,0.94867,0.63378,1.03914,0.92221,1.01303,0.0013466,0.0013466,0.0013466
35,78.1863,1.06229,0.97211,1.02185,0.95368,0.92,0.93564,0.59006,1.15089,0.87965,1.04241,0.0013268,0.0013268,0.0013268
36,80.3767,1.02985,0.97875,1.01397,0.94506,0.92,0.93231,0.6383,1.07673,0.85154,1.03897,0.001307,0.001307,0.001307
37,82.5633,1.08819,0.93461,1.04451,0.91169,0.92,0.93584,0.66001,1.05608,1.0564,1.03105,0.0012872,0.0012872,0.0012872
38,84.8558,1.18255,0.97708,1.11051,0.88863,0.95757,0.92721,0.62087,1.12826,1.11083,1.0616,0.0012674,0.0012674,0.0012674
