epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.3651,1.83972,4.05354,1.45571,0.00323,0.92,0.01659,0.00741,1.34446,3.50886,0.95481,0.00046,0.00046,0.00046
2,12.6957,1.59185,2.77661,1.14002,0.00278,0.8,0.17118,0.06907,1.31655,3.51504,1.0401,0.000930694,0.000930694,0.000930694
3,17.9061,1.72282,2.28229,1.24441,0.01049,0.92,0.40712,0.11298,1.57757,3.06764,1.3156,0.00139188,0.00139188,0.00139188
4,23.1395,1.6711,2.10655,1.20648,0.98085,0.2,0.54865,0.21849,1.37803,2.7323,1.16642,0.00184357,0.00184357,0.00184357
5,28.4176,1.58408,2.14056,1.19957,0.86768,0.72,0.81228,0.40833,1.36261,2.06967,1.15168,0.0019208,0.0019208,0.0019208
6,33.594,1.68314,1.94496,1.22483,0.76756,0.66089,0.76375,0.37399,1.62113,1.96178,1.37085,0.001901,0.001901,0.001901
7,38.9898,1.60599,2.09156,1.28858,0.91053,0.81455,0.84317,0.43228,1.48419,1.82983,1.25277,0.0018812,0.0018812,0.0018812
8,43.8166,1.58905,2.00402,1.186,0.76934,0.76,0.79913,0.45733,1.53278,1.67996,1.29011,0.0018614,0.0018614,0.0018614
9,48.8951,1.48402,1.73828,1.17493,0.84606,0.76,0.77204,0.38967,1.61924,1.92357,1.27373,0.0018416,0.0018416,0.0018416
10,54.1182,1.50358,1.72872,1.16832,0.97151,0.6,0.78882,0.41863,1.50814,2.01048,1.21097,0.0018218,0.0018218,0.0018218
11,58.7227,1.50905,1.67966,1.15018,0.80756,0.92,0.91687,0.5103,1.35473,1.65431,1.26014,0.001802,0.001802,0.001802
12,61.0144,1.43779,1.61356,1.17521,0.87827,0.86618,0.88767,0.50916,1.39108,1.49019,1.2343,0.0017822,0.0017822,0.0017822
13,63.2353,1.29056,1.38048,1.1885,0.94537,0.92,0.94152,0.591,1.23918,1.27428,1.17482,0.0017624,0.0017624,0.0017624
14,65.5711,1.30589,1.43542,1.13841,0.98372,0.92,0.94819,0.59467,1.25353,1.35026,1.19404,0.0017426,0.0017426,0.0017426
15,67.803,1.24636,1.35058,1.10491,0.95626,0.87465,0.92321,0.6124,1.25927,1.29135,1.17433,0.0017228,0.0017228,0.0017228
16,70.3007,1.26148,1.33453,1.0862,0.94869,0.84,0.90381,0.59331,1.24169,1.26231,1.13865,0.001703,0.001703,0.001703
17,72.7034,1.25993,1.35427,1.11234,0.91234,0.83291,0.88263,0.55712,1.24791,1.33713,1.17784,0.0016832,0.0016832,0.0016832
18,75.0519,1.23769,1.2624,1.03612,0.8158,0.88598,0.87772,0.54729,1.26727,1.29168,1.17537,0.0016634,0.0016634,0.0016634
19,77.4914,1.24947,1.2739,1.13533,0.74189,0.96,0.88975,0.47315,1.57187,1.21069,1.22678,0.0016436,0.0016436,0.0016436
20,79.796,1.33108,1.3674,1.09204,0.79142,0.84,0.87236,0.50757,1.36166,1.20112,1.18442,0.0016238,0.0016238,0.0016238
21,82.7271,1.20671,1.14964,1.07228,0.83884,0.88,0.89914,0.55834,1.16568,1.16447,1.11003,0.001604,0.001604,0.001604
22,87.8212,1.1914,1.20379,1.07074,0.89696,0.88,0.91563,0.56526,1.13158,1.27945,1.08908,0.0015842,0.0015842,0.0015842
23,92.5554,1.2157,1.15926,1.06781,0.94356,0.88,0.91173,0.60115,1.10413,1.00811,1.06326,0.0015644,0.0015644,0.0015644
24,97.8168,1.15608,1.09141,1.08567,0.80969,0.88,0.8476,0.59262,1.11799,0.9429,1.07017,0.0015446,0.0015446,0.0015446
25,103.187,1.11955,1.07122,1.06384,0.83503,0.88,0.85196,0.5569,1.15496,0.98267,1.08567,0.0015248,0.0015248,0.0015248
26,108.29,1.24622,1.12565,1.08818,0.85217,0.88,0.87056,0.57277,1.16131,0.98605,1.12477,0.001505,0.001505,0.001505
27,113.634,1.15089,1.04385,1.08509,0.92208,0.94706,0.93325,0.61987,1.13884,0.95284,1.12709,0.0014852,0.0014852,0.0014852
28,118.8,1.10355,1.04893,1.01034,0.91318,0.92,0.93184,0.61776,1.12002,0.8885,1.10662,0.0014654,0.0014654,0.0014654
29,124.032,1.08584,1.01072,1.02317,0.87965,0.84,0.9273,0.59774,1.12556,0.82261,1.07922,0.0014456,0.0014456,0.0014456
30,128.988,1.13446,1.01083,1.01928,0.92032,0.92411,0.94197,0.62981,1.03606,0.81789,1.06744,0.0014258,0.0014258,0.0014258
31,134.419,1.06707,0.99706,0.99948,0.95817,0.91643,0.94564,0.61798,1.08309,0.86287,1.11389,0.001406,0.001406,0.001406
32,139.79,1.09131,1.03964,1.07985,0.95124,0.92,0.94719,0.67331,1.02402,0.81765,1.06679,0.0013862,0.0013862,0.0013862
33,145.242,1.05083,0.92618,0.99369,0.95403,0.92,0.91181,0.65964,0.98774,0.81322,1.08152,0.0013664,0.0013664,0.0013664
34,150.863,1.06439,1.08337,1.06792,0.95772,0.90657,0.93997,0.6801,1.01361,0.86043,1.08732,0.0013466,0.0013466,0.0013466
35,156.243,1.05166,0.98444,1.02646,0.94389,0.96,0.95407,0.67914,1.0189,0.80404,1.04656,0.0013268,0.0013268,0.0013268
36,159.759,1.06794,0.94965,1.04131,0.91653,0.96,0.94731,0.64762,1.05446,0.83766,1.06924,0.001307,0.001307,0.001307
37,162.249,1.02975,0.88576,1.03993,0.88227,0.96,0.93596,0.63543,1.04817,0.86884,1.04398,0.0012872,0.0012872,0.0012872
38,164.582,1.17542,0.93163,1.10392,0.88171,0.96,0.92479,0.63165,1.08551,0.84186,1.06337,0.0012674,0.0012674,0.0012674
39,167.029,1.06227,0.94943,1.01388,0.92112,0.96,0.93703,0.67627,0.98675,0.71232,1.01983,0.0012476,0.0012476,0.0012476
40,169.315,1.08956,0.91741,0.99298,0.95612,0.92,0.90208,0.65548,1.01942,0.72545,1.0312,0.0012278,0.0012278,0.0012278
41,171.495,1.07497,0.86651,1.02897,0.95812,0.91518,0.93179,0.65,1.03825,0.75344,1.04453,0.001208,0.001208,0.001208
42,173.804,1.03721,0.87291,1.04852,0.95098,0.96,0.97877,0.66658,1.00481,0.70236,1.04374,0.0011882,0.0011882,0.0011882
43,176.261,0.92946,0.827,0.96491,0.99154,0.92,0.97997,0.65785,1.01181,0.69404,1.02681,0.0011684,0.0011684,0.0011684
44,178.678,0.99068,0.82927,0.99487,0.95391,0.92,0.98056,0.64353,1.02772,0.68715,1.03367,0.0011486,0.0011486,0.0011486
45,181.013,0.97809,0.80053,1.01999,0.95928,0.94272,0.95033,0.70363,0.92979,0.64545,1.00083,0.0011288,0.0011288,0.0011288
46,183.345,0.97013,0.74964,0.95797,0.95949,0.94766,0.95033,0.69291,0.96232,0.64534,1.0119,0.001109,0.001109,0.001109
47,185.815,0.94647,0.78099,0.98975,0.9094,0.96,0.94898,0.62555,1.0252,0.67955,1.02998,0.0010892,0.0010892,0.0010892
48,188.094,0.9376,0.80764,0.96065,0.91253,0.96,0.94899,0.64225,1.04562,0.71532,1.04446,0.0010694,0.0010694,0.0010694
49,190.334,0.95614,0.76292,0.96778,0.91498,0.96,0.97741,0.63506,1.04849,0.69544,1.05072,0.0010496,0.0010496,0.0010496
50,192.503,0.90407,0.73659,0.96701,0.92237,0.96,0.97652,0.67688,0.98101,0.64682,1.02522,0.0010298,0.0010298,0.0010298
51,194.852,0.94549,0.78035,1.01302,0.91535,0.96,0.98151,0.68738,0.98638,0.6622,1.00347,0.00101,0.00101,0.00101
52,197.383,0.88595,0.76485,0.96504,0.95969,0.95259,0.98566,0.66633,1.0149,0.64946,1.00146,0.0009902,0.0009902,0.0009902
53,200.222,0.93739,0.74856,0.9632,0.9495,0.96,0.98086,0.69015,0.99497,0.63757,0.99757,0.0009704,0.0009704,0.0009704
54,202.742,0.98773,0.84287,1.01994,0.94927,0.96,0.98145,0.67425,1.00443,0.63025,1.00835,0.0009506,0.0009506,0.0009506
55,205.243,0.86236,0.69334,0.93719,0.95557,0.96,0.98357,0.66304,1.05873,0.64307,1.03257,0.0009308,0.0009308,0.0009308
56,208.133,0.95109,0.75965,0.95782,0.95968,0.96,0.98441,0.67805,0.99639,0.65788,1.01596,0.000911,0.000911,0.000911
57,211.023,0.92467,0.78186,0.93594,1,0.91961,0.98203,0.72888,0.91117,0.5978,0.98131,0.0008912,0.0008912,0.0008912
58,213.868,0.9149,0.72416,0.95589,1,0.95527,0.98064,0.72799,0.91141,0.58153,0.97219,0.0008714,0.0008714,0.0008714
59,216.588,0.89868,0.69755,0.94404,1,0.91291,0.95902,0.70572,0.96697,0.56592,0.99605,0.0008516,0.0008516,0.0008516
60,218.974,0.86406,0.70189,1.01429,0.95929,0.94299,0.95199,0.71578,0.93781,0.58302,0.97189,0.0008318,0.0008318,0.0008318
61,221.296,0.87937,0.69887,0.94478,0.91768,0.96,0.97157,0.70347,1.01007,0.59433,1.01716,0.000812,0.000812,0.000812
62,223.727,0.91421,0.74642,0.94732,0.91927,0.96,0.97491,0.65421,1.05419,0.62629,1.04046,0.0007922,0.0007922,0.0007922
63,225.937,0.90836,0.71254,0.92878,0.92295,0.9584,0.94596,0.68561,1.03305,0.64342,1.0134,0.0007724,0.0007724,0.0007724
64,228.16,0.9018,0.70917,0.97263,0.92298,0.95877,0.97098,0.69185,1.00046,0.63023,1.00816,0.0007526,0.0007526,0.0007526
65,230.491,0.93831,0.75176,1.00904,0.9222,0.94855,0.97488,0.73266,0.95441,0.58601,0.99678,0.0007328,0.0007328,0.0007328
66,232.741,0.90727,0.7018,0.98157,0.92239,0.95108,0.97568,0.7344,0.92177,0.58703,0.96798,0.000713,0.000713,0.000713
67,234.994,0.87449,0.69813,0.89048,0.95799,0.91237,0.97586,0.71011,0.96105,0.61041,0.9923,0.0006932,0.0006932,0.0006932
68,237.246,0.88402,0.66137,0.94162,0.95813,0.91557,0.97419,0.71599,0.94494,0.63245,0.98277,0.0006734,0.0006734,0.0006734
69,239.683,0.84607,0.65159,0.93578,0.91583,0.96,0.97526,0.70152,0.91663,0.63535,0.95493,0.0006536,0.0006536,0.0006536
70,241.865,0.79734,0.67246,0.91714,0.91173,0.96,0.97641,0.70746,0.94197,0.63767,0.96224,0.0006338,0.0006338,0.0006338
71,244.061,0.85318,0.65911,0.92277,0.94728,0.96,0.96215,0.70607,0.94234,0.60609,0.97197,0.000614,0.000614,0.000614
72,246.343,0.81774,0.67074,0.95366,0.95603,0.96,0.94879,0.71146,0.90459,0.58242,0.96471,0.0005942,0.0005942,0.0005942
73,248.595,0.81999,0.6316,0.93502,0.95942,0.94604,0.9837,0.7044,0.95521,0.55006,0.96787,0.0005744,0.0005744,0.0005744
74,250.893,0.81575,0.63426,0.95489,0.95892,0.93416,0.9837,0.70664,0.92217,0.54094,0.96614,0.0005546,0.0005546,0.0005546
75,253.405,0.78916,0.62846,0.93863,0.97107,0.92,0.97158,0.7025,0.94077,0.54995,0.96101,0.0005348,0.0005348,0.0005348
76,255.665,0.76211,0.5925,0.92923,0.97479,0.92,0.97094,0.70346,0.95157,0.54933,0.96096,0.000515,0.000515,0.000515
77,257.853,0.81196,0.63262,0.92085,0.994,0.92,0.98673,0.69767,0.94715,0.57923,0.97,0.0004952,0.0004952,0.0004952
78,260.184,0.83031,0.60955,0.89811,1,0.94329,0.98625,0.70157,0.94667,0.58299,0.96903,0.0004754,0.0004754,0.0004754
79,262.508,0.80183,0.64093,0.92329,0.95839,0.92133,0.98281,0.70412,0.91883,0.56236,0.96172,0.0004556,0.0004556,0.0004556
80,264.824,0.7486,0.6223,0.92056,0.95271,0.96,0.98281,0.70791,0.90375,0.55057,0.96032,0.0004358,0.0004358,0.0004358
81,267.204,0.71061,0.56018,0.90958,0.95369,0.96,0.98278,0.72206,0.8712,0.53282,0.94569,0.000416,0.000416,0.000416
82,269.672,0.83551,0.60029,0.92925,0.9543,0.96,0.98357,0.72303,0.86545,0.5407,0.94755,0.0003962,0.0003962,0.0003962
83,272.182,0.82989,0.61775,0.94826,1,0.95622,0.9853,0.7368,0.8455,0.51912,0.94645,0.0003764,0.0003764,0.0003764
84,274.425,0.7255,0.56335,0.90948,0.99892,0.96,0.9853,0.74301,0.8288,0.51651,0.94064,0.0003566,0.0003566,0.0003566
85,276.787,0.82239,0.6233,0.94793,0.99394,0.96,0.98625,0.73713,0.87137,0.55092,0.95214,0.0003368,0.0003368,0.0003368
86,279.127,0.77356,0.59524,0.94077,0.98888,0.96,0.98726,0.72939,0.85387,0.5575,0.9486,0.000317,0.000317,0.000317
87,281.467,0.83108,0.62744,0.89555,0.99173,0.96,0.9853,0.76219,0.79818,0.54844,0.93335,0.0002972,0.0002972,0.0002972
88,283.711,0.72719,0.57404,0.89651,0.9888,0.96,0.9853,0.76607,0.80989,0.54464,0.932,0.0002774,0.0002774,0.0002774
89,286.194,0.74398,0.58509,0.8726,0.98201,0.96,0.98625,0.75817,0.81426,0.51982,0.92827,0.0002576,0.0002576,0.0002576
90,288.569,0.76205,0.5962,0.91343,0.98328,0.96,0.98625,0.76215,0.79326,0.50468,0.92444,0.0002378,0.0002378,0.0002378
91,295.155,0.64238,0.57909,0.91605,0.98032,0.96,0.98726,0.73727,0.82164,0.51441,0.92819,0.000218,0.000218,0.000218
92,297.624,0.63544,0.56971,0.89738,0.98869,0.96,0.98833,0.74301,0.82695,0.51563,0.92949,0.0001982,0.0001982,0.0001982
93,299.843,0.70346,0.60474,0.94028,1,0.95922,0.98833,0.74487,0.81821,0.50369,0.92239,0.0001784,0.0001784,0.0001784
94,302.212,0.67911,0.58338,0.8925,0.98769,0.96,0.98833,0.75274,0.8229,0.50035,0.92197,0.0001586,0.0001586,0.0001586
95,304.403,0.68193,0.57938,0.91294,0.98478,0.96,0.95563,0.74405,0.82755,0.49751,0.92281,0.0001388,0.0001388,0.0001388
96,306.687,0.6726,0.5706,0.86983,0.97798,0.96,0.95566,0.74408,0.82576,0.49666,0.92248,0.000119,0.000119,0.000119
97,308.78,0.61561,0.5671,0.85734,0.98098,0.96,0.95567,0.74204,0.82669,0.50183,0.92335,9.92e-05,9.92e-05,9.92e-05
98,310.974,0.67428,0.56565,0.89943,0.98224,0.96,0.98726,0.74702,0.82869,0.49304,0.9253,7.94e-05,7.94e-05,7.94e-05
99,313.431,0.64473,0.53234,0.89676,0.98959,0.96,0.95571,0.75089,0.82805,0.4928,0.92674,5.96e-05,5.96e-05,5.96e-05
100,315.64,0.60552,0.52777,0.86429,0.9873,0.96,0.95573,0.75888,0.82296,0.49246,0.92634,3.98e-05,3.98e-05,3.98e-05
