epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.25946,1.57925,4.56542,1.41818,0.00306,0.88,0.40953,0.21337,1.06618,3.62593,0.96184,0.00046,0.00046,0.00046
2,6.03346,1.39601,3.17641,1.12949,0.00319,0.92,0.41881,0.12751,1.37499,3.63141,1.09334,0.000921388,0.000921388,0.000921388
3,8.45525,1.44756,2.79386,1.21305,0.52805,0.12,0.49232,0.22644,1.3713,3.26367,1.26831,0.00136377,0.00136377,0.00136377
4,11.6488,1.59721,2.82705,1.26805,0.54421,0.36,0.45594,0.18959,1.73748,3.246,1.34839,0.00178714,0.00178714,0.00178714
5,14.4887,1.59825,2.9436,1.21721,0.58926,0.68885,0.61476,0.2727,1.56926,2.95561,1.47682,0.0018416,0.0018416,0.0018416
6,17.0658,1.45488,2.44254,1.18975,0.6238,0.76,0.60989,0.27923,1.5159,3.08778,1.33257,0.001802,0.001802,0.001802
7,19.8137,1.50157,2.60452,1.26339,0.7935,0.76,0.79093,0.37549,1.51791,2.76549,1.40751,0.0017624,0.0017624,0.0017624
8,22.4412,1.45354,2.58884,1.20937,0.77967,0.76,0.814,0.46572,1.32593,2.45432,1.23024,0.0017228,0.0017228,0.0017228
9,24.8253,1.37872,2.26491,1.18743,1,0.65292,0.82787,0.44485,1.60138,2.34248,1.30039,0.0016832,0.0016832,0.0016832
10,27.267,1.35059,2.10782,1.14583,0.74221,0.68,0.76435,0.51071,1.26918,2.17248,1.15722,0.0016436,0.0016436,0.0016436
11,29.8738,1.36808,2.14956,1.12282,0.96697,0.68,0.89076,0.55135,1.35943,1.93519,1.15633,0.001604,0.001604,0.001604
12,32.4708,1.31624,2.02586,1.11244,0.99393,0.84,0.9431,0.54617,1.37251,1.7738,1.16829,0.0015644,0.0015644,0.0015644
13,34.9775,1.18701,1.96712,1.09026,0.97611,0.76,0.91583,0.59914,1.13388,2.07402,1.06206,0.0015248,0.0015248,0.0015248
14,37.5464,1.21818,1.85196,1.0718,0.99678,0.84,0.93191,0.62962,1.17207,1.63944,1.07946,0.0014852,0.0014852,0.0014852
15,40.173,1.17253,1.74403,1.05192,1,0.86895,0.94915,0.58106,1.21086,1.45523,1.07527,0.0014456,0.0014456,0.0014456
16,43.1016,1.18698,1.61903,1.05299,0.91599,0.87252,0.93716,0.60207,1.17237,1.3777,1.07837,0.001406,0.001406,0.001406
17,45.8049,1.13006,1.57839,1.04298,0.99357,0.8,0.94669,0.61227,1.20857,1.48112,1.08245,0.0013664,0.0013664,0.0013664
18,48.4851,1.1736,1.59884,1.02698,0.99361,0.8,0.94944,0.64088,1.17842,1.40347,1.09359,0.0013268,0.0013268,0.0013268
19,51.0842,1.17777,1.54796,1.05913,0.98965,0.84,0.95727,0.65161,1.18795,1.37176,1.08098,0.0012872,0.0012872,0.0012872
20,53.7194,1.14799,1.50465,1.00718,0.98773,0.84,0.96042,0.70611,1.09591,1.24971,1.05412,0.0012476,0.0012476,0.0012476
21,56.4484,1.01791,1.32188,1.01291,1,0.91021,0.96662,0.68048,1.08508,1.17408,1.04012,0.001208,0.001208,0.001208
22,59.03,1.0369,1.40624,1.01059,0.95703,0.89121,0.959,0.65828,1.08255,1.16713,1.06126,0.0011684,0.0011684,0.0011684
23,61.7961,1.0343,1.36909,1.01412,1,0.83212,0.97308,0.70281,1.01655,1.07841,1.04151,0.0011288,0.0011288,0.0011288
24,64.5034,1.0448,1.34135,1.0131,0.99345,0.84,0.97392,0.71784,1.00253,1.04,1.02031,0.0010892,0.0010892,0.0010892
25,67.3761,0.89424,1.19934,0.95664,0.94456,0.96,0.97354,0.68682,1.05511,1.01129,1.02781,0.0010496,0.0010496,0.0010496
26,69.9918,1.05343,1.2656,1.02754,0.98263,0.88,0.96909,0.6598,1.103,1.0593,1.03463,0.00101,0.00101,0.00101
27,72.6135,1.03958,1.31433,1.00509,1,0.95985,0.98726,0.659,1.10886,0.91595,1.01692,0.0009704,0.0009704,0.0009704
28,75.1826,0.92713,1.25179,0.95999,0.99268,0.96,0.99071,0.69905,1.00116,0.8774,0.97732,0.0009308,0.0009308,0.0009308
29,77.8313,0.94229,1.22214,0.94695,0.99952,0.92,0.98049,0.74036,0.93851,0.83943,0.95525,0.0008912,0.0008912,0.0008912
30,80.5581,0.89617,1.18562,0.94497,0.99767,0.92,0.97151,0.72498,0.91882,0.84513,0.96209,0.0008516,0.0008516,0.0008516
31,83.1358,0.85911,1.139,0.92156,0.99238,0.92,0.97056,0.71992,0.93687,0.79555,0.95667,0.000812,0.000812,0.000812
32,85.7039,0.88173,1.19606,0.95021,0.99062,0.92,0.97136,0.72847,0.91929,0.82641,0.94998,0.0007724,0.0007724,0.0007724
33,88.2496,0.88901,1.0863,0.91479,0.95819,0.91694,0.98222,0.7304,0.90847,0.8372,0.96127,0.0007328,0.0007328,0.0007328
34,91.1856,0.99388,1.26141,1.03612,0.95826,0.91832,0.97298,0.72983,0.89314,0.84682,0.96143,0.0006932,0.0006932,0.0006932
35,93.9387,0.89194,1.11419,0.94888,0.94971,0.92,0.97988,0.72469,0.91638,0.85026,0.95984,0.0006536,0.0006536,0.0006536
36,96.6817,0.88449,1.13282,0.97338,0.9513,0.92,0.98014,0.75004,0.89367,0.87532,0.96205,0.000614,0.000614,0.000614
37,99.3188,0.83479,0.98426,0.9514,0.95971,0.95311,0.98751,0.73523,0.89983,0.84735,0.96552,0.0005744,0.0005744,0.0005744
38,102.121,0.91843,1.07336,0.97816,0.95725,1,0.99038,0.73862,0.90481,0.82565,0.96127,0.0005348,0.0005348,0.0005348
39,104.711,0.83696,1.04597,0.90473,0.95481,1,0.99192,0.76919,0.8514,0.76191,0.94132,0.0004952,0.0004952,0.0004952
40,107.384,0.79566,1.02819,0.89448,0.9536,1,0.99192,0.77702,0.8221,0.73817,0.93682,0.0004556,0.0004556,0.0004556
41,114.192,0.87704,1.18186,0.93842,0.95926,1,0.99192,0.78364,0.85851,0.74854,0.95477,0.000416,0.000416,0.000416
42,116.67,0.74922,1.07146,0.91423,0.99468,0.92,0.99044,0.76793,0.89487,0.76,0.96147,0.0003764,0.0003764,0.0003764
43,119.211,0.82917,1.10962,0.93134,0.99511,0.92,0.98907,0.76679,0.88492,0.75138,0.96376,0.0003368,0.0003368,0.0003368
44,121.68,0.74035,1.07998,0.89751,0.99506,0.92,0.98764,0.75514,0.8718,0.73235,0.95731,0.0002972,0.0002972,0.0002972
45,124.325,0.72764,1.02824,0.88015,0.99472,0.92,0.98643,0.76504,0.8406,0.72285,0.94856,0.0002576,0.0002576,0.0002576
46,126.996,0.75945,1.03182,0.91231,0.99533,0.92,0.98641,0.76649,0.84485,0.73237,0.94985,0.000218,0.000218,0.000218
47,129.589,0.68804,0.9941,0.89633,0.9961,0.92,0.98641,0.74797,0.83893,0.72185,0.95149,0.0001784,0.0001784,0.0001784
48,132.024,0.72412,1.00077,0.8659,1,0.95517,0.98833,0.7577,0.82364,0.72105,0.9499,0.0001388,0.0001388,0.0001388
49,134.678,0.70766,1.04892,0.87362,1,0.95681,0.98948,0.77586,0.79938,0.70182,0.94519,9.92e-05,9.92e-05,9.92e-05
50,137.309,0.68182,1.01765,0.88122,0.99287,0.92,0.98566,0.75872,0.7999,0.7127,0.94429,5.96e-05,5.96e-05,5.96e-05
