epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.89862,1.55496,5.23494,1.37299,0.00292,0.84,0.23402,0.17259,1.06925,3.69731,0.97786,0.000652778,0.000652778,0.000652778
2,9.06762,1.30511,4.18207,1.10025,0.43834,0.44,0.35722,0.12974,1.27941,3.41274,1.12917,0.00126719,0.00126719,0.00126719
3,13.138,1.47096,4.02675,1.16019,0.44372,0.32,0.36927,0.1883,1.34026,3.53414,1.26621,0.00182881,0.00182881,0.00182881
4,17.3995,1.5354,3.96801,1.25036,0.11918,0.36,0.12809,0.03218,2.66069,8.44617,3.69858,0.0017624,0.0017624,0.0017624
5,21.5746,1.59513,3.56585,1.42361,0.50362,0.76,0.57788,0.23788,1.7653,3.50385,1.72546,0.0016832,0.0016832,0.0016832
6,25.7167,1.50606,3.29967,1.33591,0.6682,0.56,0.65398,0.3308,1.54764,2.84255,1.46734,0.001604,0.001604,0.001604
7,30.1056,1.52317,3.64361,1.29266,0.88703,0.44,0.67057,0.37355,1.42591,2.95215,1.37059,0.0015248,0.0015248,0.0015248
8,34.2134,1.54792,2.85483,1.27903,0.77894,0.72,0.79046,0.49973,1.22033,2.92033,1.26211,0.0014456,0.0014456,0.0014456
9,38.4441,1.39665,2.63905,1.23002,0.96523,0.68,0.85083,0.57052,1.20524,2.46743,1.23973,0.0013664,0.0013664,0.0013664
10,42.5963,1.42662,3.28141,1.2337,0.83688,0.82127,0.90505,0.57628,1.26666,2.36778,1.23249,0.0012872,0.0012872,0.0012872
11,46.7379,1.33819,3.43526,1.10243,0.88837,0.8,0.90226,0.5873,1.23456,2.26755,1.18528,0.001208,0.001208,0.001208
12,50.9012,1.33739,2.72347,1.16809,0.87005,0.80355,0.93894,0.63848,1.11432,2.06836,1.17307,0.0011288,0.0011288,0.0011288
13,55.3769,1.19041,2.79946,1.0874,0.86758,0.92,0.93618,0.59363,1.14761,2.0311,1.20689,0.0010496,0.0010496,0.0010496
14,60.27,1.24997,2.63753,1.10316,0.88591,0.93215,0.95757,0.61728,1.07841,1.77816,1.15872,0.0009704,0.0009704,0.0009704
15,64.997,1.22281,2.40669,1.1285,0.89765,0.92,0.95923,0.65555,1.02264,1.64836,1.13105,0.0008912,0.0008912,0.0008912
16,73.4402,1.26404,2.91784,1.16207,0.8948,0.96,0.96787,0.59453,1.07028,1.83208,1.13824,0.000812,0.000812,0.000812
17,78.0513,1.22494,2.6541,1.08044,0.92192,0.94494,0.96698,0.56407,1.13061,1.73036,1.17619,0.0007328,0.0007328,0.0007328
18,82.5739,1.14162,2.47691,1.0738,0.84792,0.96,0.96693,0.67653,0.99904,1.55193,1.11537,0.0006536,0.0006536,0.0006536
19,87.1089,1.14565,2.66721,1.09729,0.82718,0.95738,0.96484,0.68291,1.00929,1.52519,1.09502,0.0005744,0.0005744,0.0005744
20,91.5506,1.0184,2.41913,1.02956,0.89221,0.99349,0.97967,0.7447,0.92323,1.43567,1.06086,0.0004952,0.0004952,0.0004952
21,96.0047,1.06188,2.39265,1.03191,0.8898,0.96,0.98097,0.73423,0.92714,1.42789,1.05961,0.000416,0.000416,0.000416
22,100.367,1.07548,2.30741,1.02956,0.95958,0.94984,0.98468,0.72211,0.93171,1.42446,1.05955,0.0003368,0.0003368,0.0003368
23,104.871,0.94845,2.28946,0.95819,0.95651,0.96,0.98724,0.72895,0.91889,1.43075,1.05861,0.0002576,0.0002576,0.0002576
24,109.581,1.06931,2.50103,1.09671,1,0.87386,0.97677,0.69566,0.91349,1.33928,1.06421,0.0001784,0.0001784,0.0001784
25,114.123,0.95685,2.35735,0.99087,0.95193,0.92,0.98359,0.69785,0.90972,1.33886,1.05595,9.92e-05,9.92e-05,9.92e-05
