frame;tipo;conf;id;x1;y1;x2;y2;matricula_easy;matricula_tesseract
0;car;0.9438740611076355;1;466;819;2296;2462;L280 KSW;E4280KSW
0;car;0.8978546261787415;2;4;816;627;1668;;
0;car;0.7327547073364258;3;423;907;838;1227;;
0;car;0.5518161654472351;4;796;927;1050;1238;;
0;car;0.2792762815952301;5;834;923;1052;1115;;
