epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,73.2151,0.79644,0.80135,0.97174,0.91995,0.96,0.98218,0.70025,0.9214,0.73279,0.97384,0.000581,0.000581,0.000581
45,74.9117,0.83934,0.85128,0.97761,0.92139,0.96,0.98151,0.71873,0.9235,0.70464,0.9845,0.000548,0.000548,0.000548
46,76.5279,0.81611,0.79382,0.94712,1,0.91353,0.98526,0.73202,0.90165,0.70412,0.96832,0.000515,0.000515,0.000515
47,78.1114,0.77916,0.79368,0.91705,0.9596,0.95037,0.98751,0.74096,0.8413,0.70483,0.94003,0.000482,0.000482,0.000482
48,79.7095,0.7605,0.77959,0.94689,0.95319,0.96,0.98751,0.72049,0.86741,0.72027,0.95212,0.000449,0.000449,0.000449
49,81.3978,0.74647,0.73564,0.91225,0.96803,0.96,0.99071,0.74413,0.91703,0.70769,0.9727,0.000416,0.000416,0.000416
50,83.0849,0.8067,0.76747,0.95598,0.98567,0.96,0.99071,0.75598,0.90413,0.70124,0.97198,0.000383,0.000383,0.000383
51,89.4236,0.70907,0.90902,0.89711,0.9729,0.92,0.98641,0.76576,0.83233,0.70304,0.95413,0.00035,0.00035,0.00035
52,91.4857,0.74784,0.90084,0.9224,0.91986,0.96,0.98418,0.76153,0.80676,0.689,0.95041,0.000317,0.000317,0.000317
53,93.1867,0.76377,0.89776,0.93121,0.88564,0.96,0.97446,0.76201,0.79769,0.68786,0.94883,0.000284,0.000284,0.000284
54,94.7288,0.72008,0.86335,0.89419,0.88467,0.96,0.97504,0.76316,0.80054,0.69072,0.94137,0.000251,0.000251,0.000251
55,96.3405,0.69937,0.88995,0.92509,0.8854,0.96,0.97895,0.76254,0.80425,0.69857,0.92772,0.000218,0.000218,0.000218
56,97.9443,0.72978,0.87565,0.94223,0.88548,0.96,0.98056,0.7693,0.79968,0.69175,0.92868,0.000185,0.000185,0.000185
57,99.5847,0.66658,0.84171,0.8944,0.9431,0.92,0.98359,0.79178,0.81476,0.69988,0.9379,0.000152,0.000152,0.000152
58,101.331,0.67912,0.84755,0.92052,0.95905,0.93721,0.98788,0.79427,0.80882,0.70182,0.93466,0.000119,0.000119,0.000119
59,102.832,0.67077,0.79022,0.88569,1,0.95229,0.98948,0.79389,0.80227,0.7016,0.92565,8.6e-05,8.6e-05,8.6e-05
60,104.445,0.69275,0.78598,0.92145,0.99714,0.96,0.99071,0.79154,0.80134,0.69027,0.92221,5.3e-05,5.3e-05,5.3e-05
